t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
0,2.35755,3.73176,2.64111,0.211931,2.13132,1.55235,2.56875,0.71012,2.32176,3.27909,0.545872,2.43929,2.30331,0.771285,0.229995,2.50499,0.717315,2.28808,1.82277,0.0440553,2.08515,2.12786,1.48606,0.403147,1.168,1.96295,2.15497,2.85673,1.32352,2.69181
0.0001,2.35755,3.73176,2.64111,0.211931,2.13132,1.55235,2.56875,0.71012,2.32176,3.27909,0.545873,2.43929,2.30331,0.771285,0.229995,2.50499,0.717313,2.28808,1.82277,0.0440556,2.08515,2.12786,1.48606,0.403147,1.168,1.96295,2.15497,2.85673,1.32352,2.69181
0.0002,2.35755,3.73175,2.64111,0.211932,2.13132,1.55235,2.56875,0.710121,2.32176,3.27909,0.545875,2.43929,2.3033,0.771285,0.229996,2.50499,0.717311,2.28808,1.82277,0.0440561,2.08515,2.12786,1.48606,0.403147,1.168,1.96295,2.15497,2.85673,1.32352,2.69181
0.0003,2.35755,3.73175,2.64111,0.211932,2.13132,1.55235,2.56874,0.710122,2.32176,3.27909,0.545878,2.43929,2.3033,0.771285,0.229997,2.50498,0.717308,2.28808,1.82277,0.0440567,2.08515,2.12786,1.48606,0.403148,1.168,1.96295,2.15497,2.85673,1.32352,2.69181
0.0004,2.35756,3.73175,2.64111,0.211932,2.13132,1.55235,2.56874,0.710122,2.32176,3.27908,0.545882,2.43929,2.3033,0.771285,0.229998,2.50498,0.717304,2.28808,1.82277,0.0440574,2.08515,2.12786,1.48606,0.403148,1.168,1.96295,2.15497,2.85673,1.32353,2.69181
0.0005,2.35756,3.73175,2.6411,0.211933,2.13132,1.55235,2.56873,0.710123,2.32176,3.27908,0.545886,2.43929,2.3033,0.771286,0.229999,2.50498,0.7173,2.28808,1.82277,0.0440583,2.08515,2.12785,1.48606,0.403148,1.168,1.96295,2.15496,2.85673,1.32353,2.69181
0.0006,2.35756,3.73175,2.6411,0.211934,2.13132,1.55236,2.56872,0.710124,2.32176,3.27908,0.545891,2.43929,2.30329,0.771286,0.230001,2.50498,0.717295,2.28808,1.82277,0.0440593,2.08515,2.12785,1.48606,0.403149,1.168,1.96295,2.15496,2.85673,1.32353,2.69181
0.0007,2.35757,3.73175,2.6411,0.211934,2.13132,1.55236,2.56871,0.710125,2.32176,3.27908,0.545896,2.43929,2.30329,0.771286,0.230002,2.50498,0.717289,2.28808,1.82277,0.0440605,2.08516,2.12785,1.48606,0.403149,1.168,1.96295,2.15496,2.85673,1.32353,2.69181
0.0008,2.35758,3.73175,2.6411,0.211935,2.13132,1.55236,2.5687,0.710127,2.32176,3.27908,0.545902,2.43929,2.30329,0.771286,0.230004,2.50498,0.717282,2.28808,1.82278,0.0440619,2.08516,2.12785,1.48606,0.40315,1.168,1.96295,2.15495,2.85673,1.32353,2.6918
0.0009,2.35758,3.73175,2.64109,0.211936,2.13132,1.55236,2.56869,0.710128,2.32176,3.27908,0.545909,2.43929,2.30328,0.771287,0.230006,2.50498,0.717275,2.28808,1.82278,0.0440633,2.08516,2.12785,1.48606,0.403151,1.16801,1.96295,2.15495,2.85673,1.32353,2.6918
0.001,2.35759,3.73174,2.64109,0.211937,2.13132,1.55236,2.56868,0.71013,2.32176,3.27908,0.545916,2.43929,2.30328,0.771287,0.230008,2.50497,0.717267,2.28808,1.82278,0.044065,2.08516,2.12785,1.48606,0.403152,1.16801,1.96295,2.15494,2.85672,1.32354,2.6918
0.0011,2.3576,3.73174,2.64108,0.211938,2.13132,1.55236,2.56867,0.710132,2.32177,3.27907,0.545925,2.43929,2.30327,0.771288,0.230011,2.50497,0.717258,2.28808,1.82278,0.0440667,2.08516,2.12785,1.48606,0.403152,1.16801,1.96295,2.15494,2.85672,1.32354,2.6918
0.0012,2.3576,3.73174,2.64108,0.21194,2.13132,1.55236,2.56865,0.710134,2.32177,3.27907,0.545934,2.43929,2.30326,0.771288,0.230014,2.50497,0.717249,2.28808,1.82279,0.0440687,2.08516,2.12785,1.48605,0.403153,1.16801,1.96295,2.15493,2.85672,1.32354,2.6918
